You,45 min,(2018,"Crime, Drama, Romance",7.7,Penn Badgley,"Victoria Pedretti , Ambyr Childers , Elizabeth Lail , ","A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by."
Dune,137 min,(1984),"Action, Adventure, Sci-Fi",6.4,David Lynch,"Kyle MacLachlan , Virginia Madsen , Francesca Annis , Leonardo Cimino , ",A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.
Succession,60 min,(2018,Drama,8.7,Nicholas Braun,"Brian Cox , Kieran Culkin , Peter Friedman , ","The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company."
American Horror Story,60 min,(2011,"Drama, Horror, Thriller",8.0,Lady Gaga,"Kathy Bates , Angela Bassett , Sarah Paulson , ","An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, a slasher summer camp, and a bleak beach town and desert valley."
The Walking Dead,44 min,(2010-2022),"Drama, Horror, Thriller",8.2,Andrew Lincoln,"Norman Reedus , Melissa McBride , Lauren Cohan , ",Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.
Game of Thrones,57 min,(2011-2019),"Action, Adventure, Drama",9.2,Emilia Clarke,"Peter Dinklage , Kit Harington , Lena Headey , ","Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia."
Hocus Pocus,96 min,(1993),"Comedy, Family, Fantasy",6.9,Kenny Ortega,"Bette Midler , Sarah Jessica Parker , Kathy Najimy , Omri Katz , ","A curious youngster moves to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century."
Seinfeld,22 min,(1989-1998),Comedy,8.8,Jerry Seinfeld,"Julia Louis-Dreyfus , Michael Richards , Jason Alexander , ",The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.
Sex Education,45 min,(2019,"Comedy, Drama",8.3,Asa Butterfield,"Gillian Anderson , Emma Mackey , Ncuti Gatwa , ",A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.
Dune,265 min,(2000),"Adventure, Drama, Fantasy",7.0,William Hurt,"Alec Newman , Giancarlo Giannini , Uwe Ochsenknecht , ","A three-part miniseries on politics, betrayal, lust, greed and the coming of a Messiah. Based on Frank Herbert's classic science fiction novel."
What We Do in the Shadows,30 min,(2016,"Comedy, Fantasy, Horror",8.6,Kayvan Novak,"Matt Berry , Natasia Demetriou , Harvey Guillén , ","A look into the daily (or rather, nightly) lives of three vampires, who've lived together for over 100 years, on Staten Island."
The Sopranos,55 min,(1999-2007),"Crime, Drama",9.2,James Gandolfini,"Lorraine Bracco , Edie Falco , Michael Imperioli , ","New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling."
Grey's Anatomy,41 min,(2005,"Drama, Romance",7.5,Ellen Pompeo,"Chandra Wilson , James Pickens Jr. , Justin Chambers , ",A drama centered on the personal and professional lives of five surgical interns and their supervisors.
The Morning Show,60 min,(I) (2019,Drama,8.4,Jennifer Aniston,"Reese Witherspoon , Billy Crudup , Nestor Carbonell , ","An inside look at the lives of the people who help America wake up in the morning, exploring the unique challenges faced by the men and women who carry out this daily televised ritual."
The Office,22 min,(2005-2013),Comedy,8.9,Steve Carell,"Jenna Fischer , John Krasinski , Rainn Wilson , ","A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium."
